任务ID,场景分类,输入问题,期望工具,实际工具,工具调用次数,judge评分,是否通过,失败原因,执行耗时(s),异常信息
TC01,天气保养,请结合我所在城市的天气，告知一下我如何保养机器人,"get_user_location,get_weather,rag_summarize",get_user_location,1,3,失败,missing_tool,6.34,
TC02,天气保养,今天深圳32度、湿度80%，我的扫拖机器人要怎么维护,"get_weather,rag_summarize",rag_summarize,1,5,失败,missing_tool,14.45,
TC03,天气保养,广州回南天来了，扫地机要注意什么,"get_weather,rag_summarize","get_weather,rag_summarize,rag_summarize",3,5,失败,missing_keyword,18.73,
TC04,天气保养,北方冬天干燥，扫地机器人使用有什么特别要注意的,rag_summarize,"rag_summarize,rag_summarize",2,5,通过,-,21.25,
TC05,天气保养,下雨天能不能用扫地机器人,"get_user_location,get_weather,rag_summarize","get_user_location,rag_summarize",2,5,失败,missing_tool,13.17,
TC06,天气保养,高温天气对扫地机器人电池有影响吗,"get_user_location,get_weather,rag_summarize",rag_summarize,1,5,失败,missing_tool,7.94,
TC07,天气保养,我在的城市经常下雪，机器人能正常工作吗,"get_user_location,get_weather,rag_summarize","get_user_location,rag_summarize",2,5,失败,missing_tool,11.74,
TC08,保养咨询,扫地机器人的滤网多久换一次,rag_summarize,rag_summarize,1,5,通过,-,8.43,
TC09,保养咨询,边刷缠绕头发了该怎么清理,rag_summarize,rag_summarize,1,5,通过,-,9.59,
TC10,保养咨询,扫地机器人日常怎么保养，简单说下,rag_summarize,rag_summarize,1,5,通过,-,6.38,
TC11,保养咨询,拖布发臭是什么原因，怎么处理,rag_summarize,"rag_summarize,rag_summarize,rag_summarize",3,0,失败,judge_zero,20.35,
TC12,保养咨询,集尘袋满了会提示吗，多久清理一次尘盒,rag_summarize,"rag_summarize,rag_summarize",2,5,通过,-,14.01,
TC13,报告生成,帮我生成一下我的专属使用报告,"get_user_id,get_current_month,fill_context_for_report,fetch_external_data","get_user_id,get_current_month,fill_context_for_report,fetch_external_data,rag_summarize,rag_summarize",6,5,通过,-,19.02,
TC14,报告生成,查一下我的机器人6月份的使用记录,"get_user_id,fill_context_for_report,fetch_external_data","get_user_id,get_current_month,fill_context_for_report,fetch_external_data,fetch_external_data,rag_summarize,rag_summarize,rag_summarize",8,1,失败,wrong_tool,29.77,
TC15,报告生成,给我做一个扫地机器人的使用总结,"get_user_id,get_current_month,fill_context_for_report,fetch_external_data","get_user_id,get_current_month,fill_context_for_report,fetch_external_data,rag_summarize,rag_summarize,rag_summarize,rag_summarize",8,5,通过,-,27.12,
TC16,报告生成,看看我的机器人最近用得怎么样，帮我分析一下,"get_user_id,get_current_month,fill_context_for_report,fetch_external_data","get_user_id,get_current_month,fill_context_for_report,fetch_external_data,rag_summarize,rag_summarize,rag_summarize",7,5,通过,-,25.18,
TC17,报告生成,生成一份2025年3月的使用报告,"get_user_id,fill_context_for_report,fetch_external_data","get_user_id,get_current_month,fill_context_for_report,fetch_external_data,rag_summarize,rag_summarize,rag_summarize",7,2,失败,wrong_tool,30.79,
TC18,报告生成,12月份我的扫地机用得频繁吗，帮我出个报告,"get_user_id,fill_context_for_report,fetch_external_data","get_user_id,get_current_month,fill_context_for_report,fetch_external_data,fetch_external_data,fetch_external_data,rag_summarize",7,1,失败,wrong_tool,32.04,
TC19,故障排查,扫地机器人不充电了怎么办,rag_summarize,rag_summarize,1,4,通过,-,9.89,
TC20,故障排查,机器人一直在一个地方转圈，好像迷路了,rag_summarize,rag_summarize,1,5,通过,-,12.59,
TC21,故障排查,扫地机吸力越来越小了，感觉吸不干净,rag_summarize,rag_summarize,1,5,通过,-,10.78,
TC22,故障排查,运行时噪音特别大，是不是哪里坏了,rag_summarize,rag_summarize,1,5,通过,-,10.57,
TC23,选购建议,84平的房子，养了一只猫，适合哪种扫地机器人,rag_summarize,rag_summarize,1,5,通过,-,16.98,
TC24,选购建议,家里有长毛地毯，推荐一款不会卡住的机器人,rag_summarize,"rag_summarize,rag_summarize",2,4,通过,-,20.07,
TC25,选购建议,预算三千以内，扫拖一体机有什么推荐,rag_summarize,"rag_summarize,rag_summarize",2,4,通过,-,16.63,
TC26,多工具协作,结合我的城市天气和使用习惯，帮我全面评估一下扫地机器人的耗材更换周期,"get_user_location,get_weather,get_user_id,get_current_month,fill_context_for_report,fetch_external_data,rag_summarize","get_current_month,get_user_id,get_user_location,rag_summarize,rag_summarize,fetch_external_data",6,5,失败,missing_tool,27.68,
TC27,多工具协作,广州夏天湿度大，我的机器人在这种环境下怎么调参数能让它更好用,"get_weather,rag_summarize","get_weather,rag_summarize",2,5,失败,missing_keyword,19.18,
TC28,边界情况,你好,-,,0,4,通过,-,2.03,
TC29,边界情况,帮我查一下火星的天气，看看我的机器人在火星上怎么用,-,rag_summarize,1,5,通过,-,13.93,
TC30,边界情况,,-,"get_user_location,rag_summarize,rag_summarize",3,5,失败,wrong_tool,20.05,
